"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2023","76.33","80.67","81.54","73.62","228.45K","-5.60%"
"11/01/2023","80.86","84.78","87.12","76.71","5.82M","-4.89%"
"10/01/2023","85.02","90.48","92.32","82.20","6.35M","-10.80%"
"09/01/2023","95.31","86.82","97.69","86.74","5.54M","9.77%"
"08/01/2023","86.83","84.78","87.37","81.61","5.75M","1.64%"
"07/01/2023","85.43","75.00","85.58","74.40","5.07M","14.06%"
"06/01/2023","74.90","72.15","78.73","71.57","5.45M","3.08%"
"05/01/2023","72.66","80.11","80.24","71.28","5.61M","-8.65%"
"04/01/2023","79.54","86.00","87.49","77.39","4.71M","-0.29%"
"03/01/2023","79.77","83.05","86.75","70.12","5.89M","-4.91%"
"02/01/2023","83.89","85.56","86.95","79.10","4.54M","-0.71%"
"01/01/2023","84.49","85.96","89.09","77.61","4.34M","-1.65%"
